Time,Date,Day of the week,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation
02:30:00 PM,11,Wednesday,27,14,15,23,79,low
02:45:00 PM,11,Wednesday,22,15,21,10,68,low
03:00:00 PM,11,Wednesday,53,5,17,21,96,low
03:15:00 PM,11,Wednesday,61,11,27,22,121,high
03:30:00 PM,11,Wednesday,74,13,5,26,118,high
03:45:00 PM,11,Wednesday,121,7,16,20,164,high
04:00:00 PM,11,Wednesday,110,9,37,13,169,heavy
04:15:00 PM,11,Wednesday,116,12,39,12,179,heavy
04:30:00 PM,11,Wednesday,100,27,39,13,179,heavy
04:45:00 PM,11,Wednesday,118,11,28,11,168,heavy
05:00:00 PM,11,Wednesday,137,14,13,13,177,heavy
05:15:00 PM,11,Wednesday,130,23,14,18,185,heavy
05:30:00 PM,11,Wednesday,146,13,10,18,187,heavy
05:45:00 PM,11,Wednesday,114,23,19,11,167,heavy
06:00:00 PM,11,Wednesday,104,18,15,15,152,heavy
06:15:00 PM,11,Wednesday,114,24,31,10,179,heavy
06:30:00 PM,11,Wednesday,90,0,18,11,119,high
06:45:00 PM,11,Wednesday,95,2,9,15,121,high
07:00:00 PM,11,Wednesday,60,4,7,28,99,low
07:15:00 PM,11,Wednesday,72,1,9,32,114,high
07:30:00 PM,11,Wednesday,92,20,11,31,154,high
07:45:00 PM,11,Wednesday,70,18,9,23,120,high
08:00:00 PM,11,Wednesday,97,8,17,10,132,high
08:15:00 PM,11,Wednesday,72,11,5,24,112,high
08:30:00 PM,11,Wednesday,60,12,20,28,120,high
08:45:00 PM,11,Wednesday,62,7,7,13,89,low
09:00:00 PM,11,Wednesday,79,19,13,17,128,high
09:15:00 PM,11,Wednesday,92,9,15,19,135,high
09:30:00 PM,11,Wednesday,62,1,5,10,78,low
09:45:00 PM,11,Wednesday,13,0,1,39,53,low
10:00:00 PM,11,Wednesday,15,2,1,24,42,normal
10:15:00 PM,11,Wednesday,12,2,2,22,38,normal
10:30:00 PM,11,Wednesday,5,0,0,36,41,normal
10:45:00 PM,11,Wednesday,11,1,2,26,40,normal
11:00:00 PM,11,Wednesday,6,1,2,28,37,normal
11:15:00 PM,11,Wednesday,6,0,1,27,34,normal
11:30:00 PM,11,Wednesday,10,0,2,33,45,normal
11:45:00 PM,11,Wednesday,5,0,1,27,33,normal
12:00:00 AM,12,Thursday,6,1,2,37,46,normal
12:15:00 AM,12,Thursday,5,2,1,36,44,normal
12:30:00 AM,12,Thursday,6,1,0,26,33,normal
12:45:00 AM,12,Thursday,9,2,0,21,32,normal
01:00:00 AM,12,Thursday,11,2,2,35,50,normal
01:15:00 AM,12,Thursday,8,2,0,34,44,normal
01:30:00 AM,12,Thursday,14,2,0,35,51,normal
01:45:00 AM,12,Thursday,8,0,0,36,44,normal
02:00:00 AM,12,Thursday,10,1,0,21,32,normal
02:15:00 AM,12,Thursday,14,0,1,35,50,normal
02:30:00 AM,12,Thursday,8,1,0,21,30,normal
02:45:00 AM,12,Thursday,12,2,1,37,52,low
03:00:00 AM,12,Thursday,15,2,1,30,48,normal
03:15:00 AM,12,Thursday,12,2,1,33,48,normal
03:30:00 AM,12,Thursday,8,0,2,38,48,normal
03:45:00 AM,12,Thursday,10,1,2,39,52,low
04:00:00 AM,12,Thursday,90,5,0,28,123,high
04:15:00 AM,12,Thursday,57,9,0,15,81,low
04:30:00 AM,12,Thursday,61,5,0,11,77,low
04:45:00 AM,12,Thursday,84,10,6,16,116,high
05:00:00 AM,12,Thursday,59,8,5,18,90,low
05:15:00 AM,12,Thursday,64,5,3,27,99,low
05:30:00 AM,12,Thursday,72,3,5,10,90,low
05:45:00 AM,12,Thursday,102,12,14,7,135,high
06:00:00 AM,12,Thursday,132,16,23,9,180,heavy
06:15:00 AM,12,Thursday,114,11,25,7,157,heavy
06:30:00 AM,12,Thursday,117,18,22,12,169,heavy
06:45:00 AM,12,Thursday,149,15,10,15,189,heavy
07:00:00 AM,12,Thursday,103,29,12,6,150,high
07:15:00 AM,12,Thursday,81,30,16,5,132,high
07:30:00 AM,12,Thursday,140,14,12,12,178,heavy
07:45:00 AM,12,Thursday,88,25,23,5,141,high
08:00:00 AM,12,Thursday,146,17,20,6,189,heavy
08:15:00 AM,12,Thursday,148,16,25,6,195,heavy
08:30:00 AM,12,Thursday,125,21,22,11,179,heavy
08:45:00 AM,12,Thursday,88,30,23,5,146,high
09:00:00 AM,12,Thursday,67,14,24,19,124,high
09:15:00 AM,12,Thursday,56,12,30,16,114,high
09:30:00 AM,12,Thursday,75,9,15,19,118,high
09:45:00 AM,12,Thursday,52,8,5,12,77,low
10:00:00 AM,12,Thursday,40,9,25,12,86,low
10:15:00 AM,12,Thursday,46,7,30,13,96,low
10:30:00 AM,12,Thursday,76,6,8,14,104,high
10:45:00 AM,12,Thursday,62,6,6,25,99,low
11:00:00 AM,12,Thursday,63,8,9,27,107,low
11:15:00 AM,12,Thursday,39,2,12,25,78,low
11:30:00 AM,12,Thursday,55,7,4,35,101,high
11:45:00 AM,12,Thursday,64,9,8,34,115,high
12:00:00 PM,12,Thursday,56,1,5,27,89,low
12:15:00 PM,12,Thursday,43,3,4,35,85,low
12:30:00 PM,12,Thursday,52,0,3,30,85,low
12:45:00 PM,12,Thursday,25,7,4,33,69,low
01:00:00 PM,12,Thursday,47,13,0,18,78,low
01:15:00 PM,12,Thursday,26,16,31,26,99,low
01:30:00 PM,12,Thursday,86,3,9,30,128,high
01:45:00 PM,12,Thursday,46,6,21,11,84,low
02:00:00 PM,12,Thursday,66,13,3,26,108,high
02:15:00 PM,12,Thursday,89,19,21,18,147,high
02:30:00 PM,12,Thursday,88,1,10,21,120,high
02:45:00 PM,12,Thursday,88,8,8,24,128,high
03:00:00 PM,12,Thursday,96,20,28,14,158,heavy
03:15:00 PM,12,Thursday,70,1,20,16,107,high
03:30:00 PM,12,Thursday,79,3,14,22,118,high
03:45:00 PM,12,Thursday,133,6,21,15,175,heavy
04:00:00 PM,12,Thursday,128,11,38,14,191,heavy
04:15:00 PM,12,Thursday,123,27,34,13,197,heavy
04:30:00 PM,12,Thursday,129,23,17,16,185,heavy
04:45:00 PM,12,Thursday,104,22,40,11,177,heavy
05:00:00 PM,12,Thursday,128,9,19,14,170,heavy
05:15:00 PM,12,Thursday,130,10,38,11,189,heavy
05:30:00 PM,12,Thursday,146,14,35,15,210,heavy
05:45:00 PM,12,Thursday,120,22,32,17,191,heavy
06:00:00 PM,12,Thursday,102,25,31,14,172,heavy
06:15:00 PM,12,Thursday,116,11,18,18,163,heavy
06:30:00 PM,12,Thursday,83,19,15,22,139,high
06:45:00 PM,12,Thursday,67,10,11,24,112,high
07:00:00 PM,12,Thursday,98,5,9,25,137,high
07:15:00 PM,12,Thursday,61,2,11,31,105,high
07:30:00 PM,12,Thursday,80,14,5,15,114,high
07:45:00 PM,12,Thursday,59,5,6,11,81,low
08:00:00 PM,12,Thursday,68,14,20,10,112,high
08:15:00 PM,12,Thursday,84,15,12,16,127,high
08:30:00 PM,12,Thursday,67,19,16,17,119,high
08:45:00 PM,12,Thursday,53,14,19,33,119,high
09:00:00 PM,12,Thursday,50,1,6,20,77,low
09:15:00 PM,12,Thursday,64,0,9,32,105,high
09:30:00 PM,12,Thursday,70,4,5,24,103,high
09:45:00 PM,12,Thursday,5,0,0,38,43,normal
10:00:00 PM,12,Thursday,11,2,0,38,51,low
10:15:00 PM,12,Thursday,11,1,1,40,53,low
10:30:00 PM,12,Thursday,12,1,2,31,46,normal
10:45:00 PM,12,Thursday,5,1,0,36,42,normal
11:00:00 PM,12,Thursday,5,0,0,23,28,normal
11:15:00 PM,12,Thursday,6,0,2,26,34,normal
11:30:00 PM,12,Thursday,15,1,2,20,38,normal
11:45:00 PM,12,Thursday,6,2,0,24,32,normal
12:00:00 AM,13,Friday,6,1,2,40,49,normal
12:15:00 AM,13,Friday,6,1,0,39,46,normal
12:30:00 AM,13,Friday,15,1,2,23,41,normal
12:45:00 AM,13,Friday,7,1,2,35,45,normal
01:00:00 AM,13,Friday,15,0,0,22,37,normal
01:15:00 AM,13,Friday,11,2,2,33,48,normal
01:30:00 AM,13,Friday,14,2,1,24,41,normal
01:45:00 AM,13,Friday,5,2,2,36,45,normal
02:00:00 AM,13,Friday,9,0,2,35,46,normal
02:15:00 AM,13,Friday,14,0,0,30,44,normal
02:30:00 AM,13,Friday,5,0,0,29,34,normal
02:45:00 AM,13,Friday,9,0,1,36,46,normal
03:00:00 AM,13,Friday,15,1,2,36,54,low
03:15:00 AM,13,Friday,11,1,0,20,32,normal
03:30:00 AM,13,Friday,14,1,2,29,46,normal
03:45:00 AM,13,Friday,5,0,1,38,44,normal
04:00:00 AM,13,Friday,54,7,2,27,90,low
04:15:00 AM,13,Friday,52,5,2,54,113,high
04:30:00 AM,13,Friday,64,7,3,59,133,high
04:45:00 AM,13,Friday,28,7,4,35,74,low
05:00:00 AM,13,Friday,79,2,2,48,131,high
05:15:00 AM,13,Friday,58,0,3,35,96,low
05:30:00 AM,13,Friday,43,4,0,48,95,low
05:45:00 AM,13,Friday,72,5,3,57,137,high
06:00:00 AM,13,Friday,63,0,0,43,106,high
06:15:00 AM,13,Friday,58,10,1,58,127,high
06:30:00 AM,13,Friday,25,2,3,26,56,low
06:45:00 AM,13,Friday,26,6,2,56,90,low
07:00:00 AM,13,Friday,53,5,5,25,88,low
07:15:00 AM,13,Friday,34,6,1,34,75,low
07:30:00 AM,13,Friday,27,3,5,53,88,low
07:45:00 AM,13,Friday,77,0,3,44,124,high
08:00:00 AM,13,Friday,65,10,1,52,128,high
08:15:00 AM,13,Friday,65,6,3,55,129,high
08:30:00 AM,13,Friday,78,6,2,35,121,high
08:45:00 AM,13,Friday,36,6,5,57,104,high
09:00:00 AM,13,Friday,144,42,11,7,204,heavy
09:15:00 AM,13,Friday,125,29,19,6,179,heavy
09:30:00 AM,13,Friday,114,50,6,8,178,heavy
09:45:00 AM,13,Friday,136,24,20,6,186,heavy
10:00:00 AM,13,Friday,114,37,19,7,177,heavy
10:15:00 AM,13,Friday,141,50,16,5,212,heavy
10:30:00 AM,13,Friday,117,50,20,10,197,heavy
10:45:00 AM,13,Friday,103,40,11,9,163,heavy
11:00:00 AM,13,Friday,131,39,5,5,180,heavy
11:15:00 AM,13,Friday,119,22,6,8,155,heavy
11:30:00 AM,13,Friday,104,35,19,9,167,heavy
11:45:00 AM,13,Friday,146,24,13,6,189,heavy
12:00:00 PM,13,Friday,134,26,14,6,180,heavy
12:15:00 PM,13,Friday,111,46,19,8,184,heavy
12:30:00 PM,13,Friday,106,37,19,8,170,heavy
12:45:00 PM,13,Friday,128,36,12,9,185,heavy
01:00:00 PM,13,Friday,101,36,11,9,157,heavy
01:15:00 PM,13,Friday,142,21,7,9,179,heavy
01:30:00 PM,13,Friday,124,21,10,5,160,heavy
01:45:00 PM,13,Friday,103,22,20,7,152,heavy
02:00:00 PM,13,Friday,139,47,7,8,201,heavy
02:15:00 PM,13,Friday,127,28,20,10,185,heavy
02:30:00 PM,13,Friday,126,39,13,7,185,heavy
02:45:00 PM,13,Friday,100,41,15,8,164,heavy
03:00:00 PM,13,Friday,66,5,5,17,93,low
03:15:00 PM,13,Friday,83,13,9,10,115,heavy
03:30:00 PM,13,Friday,50,6,15,9,80,low
03:45:00 PM,13,Friday,50,13,1,11,75,low
04:00:00 PM,13,Friday,65,5,1,20,91,low
04:15:00 PM,13,Friday,72,8,12,19,111,low
04:30:00 PM,13,Friday,80,7,0,9,96,low
04:45:00 PM,13,Friday,71,5,10,5,91,low
05:00:00 PM,13,Friday,83,11,2,12,108,high
05:15:00 PM,13,Friday,54,5,6,10,75,low
05:30:00 PM,13,Friday,55,6,4,10,75,low
05:45:00 PM,13,Friday,56,15,14,5,90,low
06:00:00 PM,13,Friday,71,8,13,12,104,high
06:15:00 PM,13,Friday,59,5,13,18,95,low
06:30:00 PM,13,Friday,62,14,4,10,90,low
06:45:00 PM,13,Friday,68,10,9,20,107,high
07:00:00 PM,13,Friday,27,0,3,40,70,low
07:15:00 PM,13,Friday,45,3,1,44,93,low
07:30:00 PM,13,Friday,23,3,1,39,66,low
07:45:00 PM,13,Friday,50,4,4,40,98,low
08:00:00 PM,13,Friday,29,2,4,39,74,low
08:15:00 PM,13,Friday,26,1,5,30,62,low
08:30:00 PM,13,Friday,43,4,5,39,91,low
08:45:00 PM,13,Friday,33,5,0,25,63,low
09:00:00 PM,13,Friday,21,2,4,30,57,low
09:15:00 PM,13,Friday,47,2,4,40,93,low
09:30:00 PM,13,Friday,24,4,4,41,73,low
09:45:00 PM,13,Friday,11,0,2,27,40,normal
10:00:00 PM,13,Friday,5,1,1,37,44,normal
10:15:00 PM,13,Friday,14,2,1,22,39,normal
10:30:00 PM,13,Friday,6,2,0,39,47,normal
10:45:00 PM,13,Friday,15,2,2,37,56,low
11:00:00 PM,13,Friday,9,2,2,36,49,normal
11:15:00 PM,13,Friday,11,0,0,34,45,normal
11:30:00 PM,13,Friday,13,1,2,25,41,normal
11:45:00 PM,13,Friday,13,1,2,31,47,normal
12:00:00 AM,14,Saturday,10,0,0,37,47,normal
12:15:00 AM,14,Saturday,6,2,0,20,28,normal
12:30:00 AM,14,Saturday,12,1,1,36,50,normal
12:45:00 AM,14,Saturday,9,2,0,27,38,normal
01:00:00 AM,14,Saturday,13,1,0,35,49,normal
01:15:00 AM,14,Saturday,7,0,1,40,48,normal
01:30:00 AM,14,Saturday,6,1,1,37,45,normal
01:45:00 AM,14,Saturday,8,1,1,27,37,normal
02:00:00 AM,14,Saturday,9,2,2,30,43,normal
02:15:00 AM,14,Saturday,7,1,0,38,46,normal
02:30:00 AM,14,Saturday,6,0,1,35,42,normal
02:45:00 AM,14,Saturday,7,0,2,27,36,normal
03:00:00 AM,14,Saturday,5,0,0,36,41,normal
03:15:00 AM,14,Saturday,11,2,2,25,40,normal
03:30:00 AM,14,Saturday,5,1,2,22,30,normal
03:45:00 AM,14,Saturday,14,0,1,30,45,normal
04:00:00 AM,14,Saturday,55,1,1,30,87,low
04:15:00 AM,14,Saturday,74,10,1,10,95,low
04:30:00 AM,14,Saturday,89,7,1,21,118,high
04:45:00 AM,14,Saturday,87,9,6,17,119,high
05:00:00 AM,14,Saturday,80,10,3,19,112,high
05:15:00 AM,14,Saturday,89,7,0,25,121,high
05:30:00 AM,14,Saturday,89,6,6,17,118,high
05:45:00 AM,14,Saturday,134,12,20,5,171,heavy
06:00:00 AM,14,Saturday,104,16,11,15,146,high
06:15:00 AM,14,Saturday,132,10,20,13,175,heavy
06:30:00 AM,14,Saturday,112,16,18,12,158,heavy
06:45:00 AM,14,Saturday,84,25,11,15,135,high
07:00:00 AM,14,Saturday,101,25,21,15,162,heavy
07:15:00 AM,14,Saturday,141,16,25,10,192,heavy
07:30:00 AM,14,Saturday,108,29,23,11,171,heavy
07:45:00 AM,14,Saturday,147,27,25,7,206,heavy
08:00:00 AM,14,Saturday,102,10,18,12,142,high
08:15:00 AM,14,Saturday,141,30,19,7,197,heavy
08:30:00 AM,14,Saturday,118,23,19,15,175,heavy
08:45:00 AM,14,Saturday,90,27,12,10,139,high
09:00:00 AM,14,Saturday,35,5,25,11,76,low
09:15:00 AM,14,Saturday,80,11,8,19,118,high
09:30:00 AM,14,Saturday,71,15,7,10,103,high
09:45:00 AM,14,Saturday,58,5,5,7,75,low
10:00:00 AM,14,Saturday,36,5,15,19,75,low
10:15:00 AM,14,Saturday,36,15,22,11,84,low
10:30:00 AM,14,Saturday,30,12,20,17,79,low
10:45:00 AM,14,Saturday,29,5,11,29,74,low
11:00:00 AM,14,Saturday,34,8,10,25,77,low
11:15:00 AM,14,Saturday,61,3,6,31,101,high
11:30:00 AM,14,Saturday,52,7,5,27,91,low
11:45:00 AM,14,Saturday,24,0,12,34,70,low
12:00:00 PM,14,Saturday,28,9,5,25,67,low
12:15:00 PM,14,Saturday,42,0,4,33,79,low
12:30:00 PM,14,Saturday,31,4,9,26,70,low
12:45:00 PM,14,Saturday,29,2,4,34,69,low
01:00:00 PM,14,Saturday,64,19,22,13,118,high
01:15:00 PM,14,Saturday,84,1,11,16,112,high
01:30:00 PM,14,Saturday,20,0,17,24,61,low
01:45:00 PM,14,Saturday,82,16,32,22,152,heavy
02:00:00 PM,14,Saturday,80,14,22,25,141,high
02:15:00 PM,14,Saturday,18,16,10,14,58,low
02:30:00 PM,14,Saturday,57,12,30,15,114,high
02:45:00 PM,14,Saturday,50,1,21,25,97,low
03:00:00 PM,14,Saturday,6,4,5,10,25,normal
03:15:00 PM,14,Saturday,78,19,30,23,150,high
03:30:00 PM,14,Saturday,38,8,18,30,94,low
03:45:00 PM,14,Saturday,129,18,12,17,176,heavy
04:00:00 PM,14,Saturday,114,9,39,11,173,heavy
04:15:00 PM,14,Saturday,139,8,40,17,204,heavy
04:30:00 PM,14,Saturday,108,20,10,15,153,heavy
04:45:00 PM,14,Saturday,129,11,12,20,172,heavy
05:00:00 PM,14,Saturday,149,22,31,13,215,heavy
05:15:00 PM,14,Saturday,120,27,37,12,196,heavy
05:30:00 PM,14,Saturday,120,6,37,18,181,heavy
05:45:00 PM,14,Saturday,124,28,32,18,202,heavy
06:00:00 PM,14,Saturday,116,10,28,19,173,heavy
06:15:00 PM,14,Saturday,100,9,10,11,130,high
06:30:00 PM,14,Saturday,88,8,20,33,149,high
06:45:00 PM,14,Saturday,94,16,15,20,145,high
07:00:00 PM,14,Saturday,94,17,19,35,165,heavy
07:15:00 PM,14,Saturday,51,20,7,25,103,high
07:30:00 PM,14,Saturday,58,12,20,19,109,high
07:45:00 PM,14,Saturday,74,8,10,13,105,high
08:00:00 PM,14,Saturday,92,9,11,32,144,high
08:15:00 PM,14,Saturday,92,5,17,12,126,high
08:30:00 PM,14,Saturday,50,9,18,18,95,low
08:45:00 PM,14,Saturday,80,11,14,14,119,high
09:00:00 PM,14,Saturday,102,10,13,13,138,high
09:15:00 PM,14,Saturday,68,13,18,13,112,high
09:30:00 PM,14,Saturday,108,4,17,13,142,high
09:45:00 PM,14,Saturday,13,1,2,20,36,normal
10:00:00 PM,14,Saturday,8,0,2,34,44,normal
10:15:00 PM,14,Saturday,11,2,2,40,55,low
10:30:00 PM,14,Saturday,13,1,1,28,43,normal
10:45:00 PM,14,Saturday,12,0,2,23,37,normal
11:00:00 PM,14,Saturday,9,0,1,20,30,normal
11:15:00 PM,14,Saturday,8,1,2,21,32,normal
11:30:00 PM,14,Saturday,7,1,1,26,35,normal
11:45:00 PM,14,Saturday,6,0,1,22,29,normal
12:00:00 AM,15,Sunday,11,2,0,35,48,normal
